created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-26T19:44:44Z,1596590799051018200,1596590799051018242,@guardian 1. Elon Musk would favor ANY opponent to Joe Biden. 2. DeSantis told people to calm down about 2024. 3. DeSantis was advised NOT to run in 2024. 4. Trump announced he's running. And 5. Florida still needs DeSantis. So there.,FALSE,234,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1596351412262211600,1596351412262211584,87818409,87818409,guardian,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@guardian 1. Elon Musk would favor ANY opponent to Joe Biden. 2. DeSantis told people to calm down about 2024. 3. DeSantis was advised NOT to run in 2024. 4. Trump announced he's running. And 5. Florida still needs DeSantis. So there.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:40:50Z,1596589818804600800,1596589818804600832,"Biden says family 'not having any' 2024 conversations in Nantucket

https://t.co/Ob5ij7AGXf
FUCK JOE BIDEN! HE WON’T EVEN MAKE IT TO 2024!
🤡🤣🤡🤣🤡🤣🤡🤣🤡🤣",FALSE,149,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Biden says family 'not having any' 2024 conversations in Nantucket

https://t.co/Ob5ij7AGXf
FUCK JOE BIDEN! HE WON’T EVEN MAKE IT TO 2024!
🤡🤣🤡🤣🤡🤣🤡🤣🤡🤣",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:39:33Z,1596589496539177e3,1596589496539176960,"I'm thinking that it's Republicans pretending they're Democrats..they're still loving Trump, can't you  tell? 🤔 

The Media Got It Wrong: Democrats Are Clearing The Way For Joe Biden In 2024, by @PoliticusSarah https://t.co/wuwJmonU6d",FALSE,234,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,1,FALSE,FALSE,FALSE,en,NA,NA,,"I'm thinking that it's Republicans pretending they're Democrats..they're still loving Trump, can't you  tell? 🤔 

The Media Got It Wrong: Democrats Are Clearing The Way For Joe Biden In 2024, by @PoliticusSarah https://t.co/wuwJmonU6d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:38:38Z,1596589265688797200,1596589265688797185,"It's going to be fun watching the Republicans go after each other for to 2024 presidential race , not realizing that President Joe Biden will remain the president until the year 2028 ,and even then they will have to deal with Kamala Harris the path for her to",FALSE,259,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"It's going to be fun watching the Republicans go after each other for to 2024 presidential race , not realizing that President Joe Biden will remain the president until the year 2028 ,and even then they will have to deal with Kamala Harris the path for her to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:32:43Z,1596587775670849500,1596587775670849541,"California Gov. Gavin Newsom said in a new interview with Politico that he does not plan to run for president in 2024, even if President Biden chooses not to. https://t.co/0GJbMaFD7E",FALSE,182,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,26,112,FALSE,FALSE,FALSE,en,NA,NA,,"California Gov. Gavin Newsom said in a new interview with Politico that he does not plan to run for president in 2024, even if President Biden chooses not to. https://t.co/0GJbMaFD7E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:27:28Z,1596586454515298300,1596586454515298305,The Democrats have really lost it. Gavin Newsome “the golden boy” is bowing out for a Biden presidential run in 2024. What they have no one better than Joe. Not Gabbard or Klobuchar? 2024 will be a Republican win if Ben Solo ran for our party. This is Dem trickery. https://t.co/gj1TEZKyb6,FALSE,265,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,The Democrats have really lost it. Gavin Newsome “the golden boy” is bowing out for a Biden presidential run in 2024. What they have no one better than Joe. Not Gabbard or Klobuchar? 2024 will be a Republican win if Ben Solo ran for our party. This is Dem trickery. https://t.co/gj1TEZKyb6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:25:19Z,1596585912468918300,1596585912468918273,"@harrytrumanfan_ JOE BIDEN/NICK ADAMS 2024, THE ALPHA MALE TICKET",FALSE,65,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1596585640128385e3,1596585640128385031,1510133278854070300,1510133278854070282,harrytrumanfan_,,,,NA,FALSE,0,15,FALSE,FALSE,NA,en,NA,NA,,"@harrytrumanfan_ JOE BIDEN/NICK ADAMS 2024, THE ALPHA MALE TICKET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:21:07Z,1596584854644064300,1596584854644064256,".@GavinNewsom says he told @WHCOS @FLOTUS face to face during our trip to D.C. this summer that he will not challenge @JoeBiden in 2024. 

@jmart has more for @politico here: https://t.co/Rl3ikyDVac",FALSE,198,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,8,32,FALSE,FALSE,FALSE,en,NA,NA,,".@GavinNewsom says he told @WHCOS @FLOTUS face to face during our trip to D.C. this summer that he will not challenge @JoeBiden in 2024. 

@jmart has more for @politico here: https://t.co/Rl3ikyDVac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:20:21Z,1596584664772198400,1596584664772198400,@NEWSMAX Biden won’t be the nominee so Newsom is actually correct.   No way Will Dementia Joe be able to run in 2024.,FALSE,117,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1596573259340087300,1596573259340087296,20545835,20545835,NEWSMAX,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@NEWSMAX Biden won’t be the nominee so Newsom is actually correct.   No way Will Dementia Joe be able to run in 2024.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-26T19:19:36Z,1596584473822302200,1596584473822302208,@NEWSMAX He doesn't have to support Joe Biden he knows Joe Biden won't be running for President in 2024.,FALSE,104,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1596573259340087300,1596573259340087296,20545835,20545835,NEWSMAX,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,@NEWSMAX He doesn't have to support Joe Biden he knows Joe Biden won't be running for President in 2024.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
